feature,coefficient,abs_coefficient
Creatinine Mean,-3.7723030470319365,3.7723030470319365
Bun Mean,2.4286779859026772,2.4286779859026772
Creatinine Max,1.871039361181424,1.871039361181424
Bun Max,-1.8537973336374267,1.8537973336374267
Creatinine Min,1.6790729498854151,1.6790729498854151
Bicarbonate Mean,-1.2936471605804487,1.2936471605804487
Hematocrit Mean,-0.8733153412593275,0.8733153412593275
Admission Type Elective,-0.860487122396698,0.860487122396698
Chloride Mean,-0.8367812447348387,0.8367812447348387
Hematocrit Max,0.7899624674053279,0.7899624674053279
First Careunit Csru,-0.7180450869289415,0.7180450869289415
Sodium Mean,0.6725413661039047,0.6725413661039047
Ethnicity Group Unknown,0.6222867317476304,0.6222867317476304
Hematocrit Min,0.6041501746893726,0.6041501746893726
Lactate Min,0.5451034148204018,0.5451034148204018
