feature,importance_mean,importance_std
Lactate Mean,0.03123762497138659,0.0040226146684653255
Lactate Min,0.030432571280765763,0.0034446637104224927
Age,0.030120932437932634,0.005084970173155273
Lactate Max,0.022190635057210962,0.003163554881262244
Admission Type,0.01900401777701949,0.0024367667538651694
Bun Mean,0.007339753286574236,0.0006842619291078152
Bicarbonate Min,0.006178388298134219,0.001737050553913945
First Careunit,0.0054282554338928035,0.0006004759894087378
Bicarbonate Mean,0.003449182688349339,0.0021442632787588424
Bicarbonate Max,0.00342184358363693,0.0006961215453863571
Bun Min,0.0029029071949665643,0.0015289838231447343
Bun Max,0.002157761165782235,0.0011057663753004034
Platelets Max,0.0020283190667887752,0.0005888271674685248
Sodium Max,0.0017575653650609645,0.0007153506529069604
Ethnicity Group,0.0017502909456210357,0.0004485268709878163
